Phi,log10Dose,Relative Viability vs Control
0,0,0.997574
0,0.995461,0.871885
0,1.697428,0.227563
0,1.987897,0.191841
0,2.387292,0.142889
0,2.689864,0.124366
0,2.995461,0.125689
0,3.594554,0.112459
0.01,0,1.001544
0.01,0.995461,0.861301
0.01,1.691377,0.246086
0.01,1.993949,0.173319
0.01,2.390318,0.145535
0.01,2.69289,0.142889
0.01,2.992436,0.128335
0.01,3.594554,0.113782
0.25,0,1.071665
0.25,0.995461,1.006836
0.25,1.697428,0.557001
0.25,1.993949,0.50011
0.25,2.393343,0.443219
0.25,2.698941,0.427343
0.25,2.998487,0.386329
0.25,3.591528,0.271224
0.1,0,1.005513
0.1,0.998487,0.878501
0.1,1.70348,0.314884
0.1,2.003026,0.252701
0.1,2.381241,0.223594
0.1,2.689864,0.216979
0.1,2.992436,0.215656
0.1,3.606657,0.160088
0.5,0,1.057111
0.5,1.001513,1.002867
0.5,1.700454,0.817641
0.5,2,0.772657
0.5,2.396369,0.785888
0.5,2.698941,0.755458
0.5,2.992436,0.613892
0.5,3.594554,0.371775
1,0,0.969791
1,0.998487,0.983021
1,1.697428,0.984344
1,1.996974,1.013451
1,2.399395,0.95656
1,2.695915,0.955237
1,2.998487,0.94333
1,3.591528,0.717089
